gene_id,Con1_Liver,Con2_Liver,Con3_Liver,Con4_Liver,Con5_Liver,Con6_Liver,T1_Liver,T2_Liver,T3_Liver,T4_Liver,T5_Liver,T6_Liver
306255,1908.34,1858.01,2110.82,1953.99,1711.99,1777.09,1347.64,1251.98,1252.97,1797.95,1329.56,1374.98
306257,828.72,840.97,813,919.98,957,923.03,1186,1239.7,926.3,894,1096.66,1114.1
306259,0,0,1.1,0,0,0,1.07,0,1.1,1.09,0,0
306260,443.73,539,550.99,508.01,499,480.96,468,424.99,335.27,437,362,422
306261,397.58,464.02,531.09,380.68,450.48,439.63,659.21,751.61,447.81,536.48,863.76,630.06
306262,803.31,1124.95,1171.99,1155.96,1129.14,1149.79,404.99,370,352.95,815.95,432,391.26
306264,330.45,435.13,478.95,392.79,420.62,432.7,777.92,787.11,739,734.27,1010.08,783.91
306270,375,536,460,539,570,527.76,663.91,676.19,441,373.54,890.19,676.53
306274,311,335.09,476.16,328.3,309,343,368,411,229,491.19,277,379
306278,1,0,0,0,0,2,0,1,0,0,0,2
306279,18,8,23,10,12,16,38,20,16,35,18,19
306281,0,1,0,0,0,0,0,0,1,0,0,0
306283,1,14,57,22.99,13,12,3,4,14.99,3,10,10
306284,1,11,73.14,24.21,17,17.37,11,6.32,5.62,34.59,3,10.76
306285,5,3,3,13,1,3,0,0,0,0,0,2
306288,139,124,91,100,113,134,29,35,101.82,160.99,69,36
306306,362,317.99,423,320,271,272,196.68,185,162,340,180,154
306322,1111.27,1012.38,1159.54,1019.95,950.57,979.94,1342.62,1324.56,1016.66,1171.23,1239.29,1351.55
306324,577,530,766.99,493.99,276,309.05,1034.03,999.99,1633.88,775,820.05,933.12
306327,54,45,39,45,45,32,22,29,25,39,41,33
306328,60.03,50,66.03,63,40,37.53,133.02,125.03,89,57.93,118.05,117.61
306330,140,59,109,46,38,51,58,48,23,45,61,51
306332,554,729.53,888.01,734,830.99,869,669,658,573.92,868.4,764.93,620
306338,11,19,23,21,12,12,5,8,15,7,4,8
306340,130.57,108.99,128.53,128.55,90.83,120.67,66.99,68.74,67.33,140.48,50.59,63.15
306342,0,0,0,1,1,0,1,0,0,0,0,0
306344,43,37,51.99,48,30,47,40,27,16,47,13,37
306347,486.61,437.1,771.95,466,536,531.97,844,733.19,1201.13,585.69,655.81,639
306348,109,137,167,143,163,169.03,63.99,49,76,112,70.96,33
306351,6.01,12.02,6.03,7.05,3.11,5.52,2.51,1.51,1.51,6.51,2,2
306352,11.84,12.1,18.35,14.44,16.63,21.62,35.95,35.54,23.25,20.91,19.49,45.4
